trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
11623,2022,IN,IN,SANDC,TOBAC,0.02,60886.126,2.0,1.0,60886.126,60886.126,60886.126,3044306.3
5101,2022,IN,IN,FORES,VEGE1,0.29,59126.581,1.0,1.0,59126.581,59126.581,59126.581,203884.762069
8800,2022,IN,IN,PADDY,RETA1,0.29,58393.438,1.0,1.0,58393.438,58393.438,58393.438,201356.682759
1265,2022,IN,IN,BITUM,STONE,0.08,57936.821,1.0,1.0,57936.821,57936.821,57936.821,724210.2625
12056,2022,IN,IN,SUGAR,COPP1,0.14,57771.678,1.0,1.0,57771.678,57771.678,57771.678,412654.842857
5052,2022,IN,IN,FORES,MEAT4,0.28,57358.887,1.0,1.0,57358.887,57358.887,57358.887,204853.167857
11944,2022,IN,IN,STONE,WEARI,0.13,56318.64,1.0,1.0,56318.64,56318.64,56318.64,433220.307692
1189,2022,IN,IN,BITUM,CROPS,0.07,55030.822,1.0,1.0,55030.822,55030.822,55030.822,786154.6
12074,2022,IN,IN,SUGAR,HEAVY,0.13,54817.462,1.0,1.0,54817.462,54817.462,54817.462,421672.784615
11568,2022,IN,IN,SANDC,ELEC4,0.02,53552.694,2.0,1.0,53552.694,53552.694,53552.694,2677634.7
8758,2022,IN,IN,PADDY,CONST,0.26,53072.825,1.0,1.0,53072.825,53072.825,53072.825,204126.25
1561,2022,IN,IN,CATTL,HOTEL,0.27,52326.419,1.0,1.0,52326.419,52326.419,52326.419,193801.551852
12048,2022,IN,IN,SUGAR,CEMEN,0.12,50683.52,1.0,1.0,50683.52,50683.52,50683.52,422362.666667
1560,2022,IN,IN,CATTL,HEAVY,0.26,50634.427,1.0,1.0,50634.427,50634.427,50634.427,194747.796154
9565,2022,IN,IN,POULT,BIOGA,0.07,50350.291,2.0,1.0,50350.291,50350.291,50350.291,719289.871429
