trade_id,year,region1,region2,industry1,industry2,amount
4881,2022,CN,CN,FINAN,TEXTI,21481.19
1455,2022,CN,CN,BUSIN,FABRI,21479.67
14305,2022,CN,CN,WHOLE,RUBBE,21372.47
11975,2022,CN,CN,RETA1,LANDT,21135.92
1428,2022,CN,CN,BUSIN,CHEM1,21107.08
730,2022,CN,CN,BASIC,FOUND,20994.22
12003,2022,CN,CN,RETA1,PFERT,20867.05
14286,2022,CN,CN,WHOLE,PLAST,20765.71
1442,2022,CN,CN,BUSIN,EDUCA,20700.10
745,2022,CN,CN,BASIC,MACHI,20670.58
2313,2022,CN,CN,COMPU,BUSIN,20573.36
13277,2022,CN,CN,TEXTI,RUBBE,20563.66
10298,2022,CN,CN,PLAST,MOTO1,20466.43
12040,2022,CN,CN,RETA1,WEARI,20375.53
10209,2022,CN,CN,PLANT,PLANT,20223.22
7820,2022,CN,CN,MEAT4,WEARI,20181.64
11532,2022,CN,CN,REALE,RESEA,20042.47
6364,2022,CN,CN,HOTEL,PUBLI,19932.15
5520,2022,CN,CN,FURNI,BASIC,19902.22
12216,2022,CN,CN,RUBBE,GLASS,19698.54
12267,2022,CN,CN,RUBBE,RADIO,19626.03
2830,2022,CN,CN,CRUDE,NAPHT,19619.60
14068,2022,CN,CN,WEARI,TEXTI,19613.39
7373,2022,CN,CN,LEATH,MOTO1,19394.74
294,2022,CN,CN,ALUM1,CONST,19359.12
4869,2022,CN,CN,FINAN,RESEA,19356.91
4697,2022,CN,CN,FABRI,OFFIC,19221.04
4768,2022,CN,CN,FINAN,CERAM,19144.24
9667,2022,CN,CN,PAPER,CERAM,19101.71
14318,2022,CN,CN,WHOLE,WEARI,18849.23
12208,2022,CN,CN,RUBBE,FISH5,18736.06
13836,2022,CN,CN,VEGET,HOTEL,18702.36
7323,2022,CN,CN,LEATH,CONST,18616.09
12206,2022,CN,CN,RUBBE,FABRI,18581.57
7908,2022,CN,CN,MEATP,FOOD5,18577.56
10353,2022,CN,CN,POSTT,COMPU,18459.14
13128,2022,CN,CN,SUPPO,SUPPO,18448.61
4784,2022,CN,CN,FINAN,EDUCA,18417.85
5191,2022,CN,CN,FOOD5,CATTL,18390.62
1532,2022,CN,CN,BUSIN,REALE,18386.05
3181,2022,CN,CN,EDUCA,EDUCA,18356.17
1856,2022,CN,CN,CHEM1,NONME,18334.24
2794,2022,CN,CN,CROPS,TOBAC,18314.89
11495,2022,CN,CN,REALE,MOTO1,18265.72
13439,2022,CN,CN,TRAN1,DISTR,18139.66
1520,2022,CN,CN,BUSIN,PLAST,18109.25
3446,2022,CN,CN,ELEC1,BASIC,18058.17
11659,2022,CN,CN,RECRE,RECRE,17931.27
10671,2022,CN,CN,PRINT,BUSIN,17931.05
7051,2022,CN,CN,KEROS,SUPPO,17885.63
4848,2022,CN,CN,FINAN,PFERT,17660.40
1861,2022,CN,CN,CHEM1,PAPER,17422.42
5425,2022,CN,CN,FOUND,ELECT,17334.66
14250,2022,CN,CN,WHOLE,HOTEL,17303.89
13011,2022,CN,CN,SUGAR,SUGAR,17153.52
1521,2022,CN,CN,BUSIN,POSTT,17086.76
4872,2022,CN,CN,FINAN,RUBBE,16970.79
11248,2022,CN,CN,RAILW,BASIC,16959.33
2325,2022,CN,CN,COMPU,CONST,16763.26
9675,2022,CN,CN,PAPER,CONST,16653.03
7159,2022,CN,CN,LANDT,RUBBE,16532.51
11962,2022,CN,CN,RETA1,FOOD5,16227.47
6712,2022,CN,CN,INSUR,LANDT,16203.78
327,2022,CN,CN,ALUM1,MOTO1,16197.09
1420,2022,CN,CN,BUSIN,BITUM,16115.67
13040,2022,CN,CN,SUPPO,CONST,16045.79
4802,2022,CN,CN,FINAN,FOOD5,15984.66
4844,2022,CN,CN,FINAN,PAPER,15980.36
12210,2022,CN,CN,RUBBE,FOOD5,15940.08
11885,2022,CN,CN,RESEA,PUBLI,15812.29
8911,2022,CN,CN,NONF1,CONST,15748.11
7149,2022,CN,CN,LANDT,RADIO,15743.02
11925,2022,CN,CN,RETA1,BASIC,15659.33
3442,2022,CN,CN,ELEC1,ALUM1,15596.75
12000,2022,CN,CN,RETA1,PAPER,15346.84
12224,2022,CN,CN,RUBBE,LANDT,15341.79
1479,2022,CN,CN,BUSIN,LANDT,15195.47
10281,2022,CN,CN,PLAST,ELECT,15168.32
2616,2022,CN,CN,COPP1,FABRI,15136.63
516,2022,CN,CN,AUXIL,FINAN,15103.31
9990,2022,CN,CN,PFERT,CEREA,15050.27
14248,2022,CN,CN,WHOLE,HEALT,14987.75
1515,2022,CN,CN,BUSIN,PFERT,14894.68
2820,2022,CN,CN,CRUDE,HEAVY,14892.69
12175,2022,CN,CN,RUBBE,BITUM,14872.87
5215,2022,CN,CN,FOOD5,FISH5,14801.91
11516,2022,CN,CN,REALE,POSTT,14784.73
5762,2022,CN,CN,GASDI,RAILW,14772.85
5932,2022,CN,CN,GLASS,MOTO1,14708.93
12169,2022,CN,CN,RUBBE,BASIC,14614.31
8545,2022,CN,CN,NAPHT,PFERT,14587.83
7109,2022,CN,CN,LANDT,HEALT,14490.42
11802,2022,CN,CN,RESEA,CHEM1,14475.64
1825,2022,CN,CN,CHEM1,FABRI,14435.94
14287,2022,CN,CN,WHOLE,POSTT,14387.15
5389,2022,CN,CN,FOUND,BASIC,14383.28
12227,2022,CN,CN,RUBBE,LEATH,14366.65
1548,2022,CN,CN,BUSIN,SUPPO,14334.11
11795,2022,CN,CN,RESEA,BITUM,14325.74
4618,2022,CN,CN,FABRI,BITUM,14302.53
14216,2022,CN,CN,WHOLE,CERAM,14276.36
6279,2022,CN,CN,HOTEL,EDUCA,14258.16
5997,2022,CN,CN,HEALT,CHEM1,14192.58
11542,2022,CN,CN,REALE,SUPPO,14119.26
10690,2022,CN,CN,PRINT,EDUCA,14080.77
12043,2022,CN,CN,RETA1,WHOLE,14036.98
6005,2022,CN,CN,HEALT,CONST,14018.65
3460,2022,CN,CN,ELEC1,CHEM1,13978.02
9285,2022,CN,CN,OFFIC,ELECT,13930.84
6386,2022,CN,CN,HOTEL,SUPPO,13904.90
7157,2022,CN,CN,LANDT,RETA1,13870.97
13073,2022,CN,CN,SUPPO,LANDT,13838.76
4656,2022,CN,CN,FABRI,FISH5,13832.65
1469,2022,CN,CN,BUSIN,GLASS,13831.60
4751,2022,CN,CN,FINAN,93197,13772.90
14108,2022,CN,CN,WHEAT,FOOD5,13742.40
8239,2022,CN,CN,MOTO1,CONST,13572.32
4933,2022,CN,CN,FISH5,FISH5,13550.01
9664,2022,CN,CN,PAPER,BUSIN,13533.44
5004,2022,CN,CN,FISH5,WHOLE,13470.25
5558,2022,CN,CN,FURNI,ELECT,13414.02
181,2022,CN,CN,AIRTR,CONST,13392.65
1836,2022,CN,CN,CHEM1,GLASS,13306.82
12319,2022,CN,CN,SALEM,CONST,13275.94
13575,2022,CN,CN,TRAN2,TRAN2,13233.25
1748,2022,CN,CN,CEREA,CEREA,13231.31
11436,2022,CN,CN,REALE,CHEM1,13204.67
14044,2022,CN,CN,WEARI,PUBLI,13130.52
1540,2022,CN,CN,BUSIN,RUBBE,13109.30
4626,2022,CN,CN,FABRI,CHEM1,13049.54
1220,2022,CN,CN,BITUM,COKEO,12987.95
3465,2022,CN,CN,ELEC1,CONST,12958.60
7070,2022,CN,CN,LANDT,BASIC,12846.30
7833,2022,CN,CN,MEATA,MEAT4,12824.32
7350,2022,CN,CN,LEATH,FURNI,12704.83
4480,2022,CN,CN,ELECT,BUSIN,12683.75
10500,2022,CN,CN,POULT,HOTEL,12662.79
10521,2022,CN,CN,POULT,POULT,12659.25
14150,2022,CN,CN,WHEAT,WHEAT,12657.80
11968,2022,CN,CN,RETA1,HEALT,12650.24
4861,2022,CN,CN,FINAN,RADIO,12625.26
4663,2022,CN,CN,FABRI,FURNI,12593.77
14226,2022,CN,CN,WHOLE,CRUDE,12505.81
4524,2022,CN,CN,ELECT,HEALT,12483.62
11876,2022,CN,CN,RESEA,PFERT,12468.75
10767,2022,CN,CN,PRINT,PUBLI,12462.12
3054,2022,CN,CN,DISTR,ALUM1,12439.61
9739,2022,CN,CN,PAPER,OFFIC,12416.35
11463,2022,CN,CN,REALE,FABRI,12338.70
5894,2022,CN,CN,GLASS,CHEM1,12320.28
7523,2022,CN,CN,LIQUE,PFERT,12300.26
14306,2022,CN,CN,WHOLE,SALEM,12264.48
14295,2022,CN,CN,WHOLE,RADIO,12217.49
8470,2022,CN,CN,MOTOR,PUBLI,12216.45
5910,2022,CN,CN,GLASS,ELECT,12192.64
14315,2022,CN,CN,WHOLE,TRANS,12179.90
3469,2022,CN,CN,ELEC1,CRUDE,12155.28
12013,2022,CN,CN,RETA1,PUBLI,12149.31
9035,2022,CN,CN,NONME,ALUM1,12133.32
1224,2022,CN,CN,BITUM,COPP1,12112.35
16,2022,CN,CN,93197,BUSIN,12090.79
1511,2022,CN,CN,BUSIN,PAPER,12075.65
13035,2022,CN,CN,SUPPO,CHEM1,12066.56
161,2022,CN,CN,AIRTR,AIRTR,12006.14
14274,2022,CN,CN,WHOLE,NONF1,11960.99
9669,2022,CN,CN,PAPER,CHEM1,11956.99
10304,2022,CN,CN,PLAST,OFFIC,11933.62
11297,2022,CN,CN,RAILW,MOTO1,11932.26
11536,2022,CN,CN,REALE,SALEM,11919.42
1456,2022,CN,CN,BUSIN,FINAN,11853.67
9773,2022,CN,CN,PAPER,RUBBE,11823.28
8428,2022,CN,CN,MOTOR,KEROS,11822.86
5677,2022,CN,CN,GASDI,CERAM,11809.88
1209,2022,CN,CN,BITUM,BITUM,11791.78
14293,2022,CN,CN,WHOLE,PUBLI,11766.69
9087,2022,CN,CN,NONME,GLASS,11762.68
2403,2022,CN,CN,COMPU,PUBLI,11738.81
11826,2022,CN,CN,RESEA,ELECT,11732.06
3260,2022,CN,CN,EDUCA,PUBLI,11677.62
14141,2022,CN,CN,WHEAT,RETA1,11668.07
11988,2022,CN,CN,RETA1,MOTO1,11601.19
1373,2022,CN,CN,BRICK,CONST,11588.40
1851,2022,CN,CN,CHEM1,MOTO1,11552.55
11160,2022,CN,CN,RADIO,ELECT,11536.05
4980,2022,CN,CN,FISH5,PUBLI,11508.72
3518,2022,CN,CN,ELEC1,NONME,11473.97
4680,2022,CN,CN,FABRI,MACHI,11429.98
901,2022,CN,CN,BEVER,RETA1,11412.99
1472,2022,CN,CN,BUSIN,HOTEL,11404.23
1560,2022,CN,CN,BUSIN,WEARI,11357.40
14291,2022,CN,CN,WHOLE,PRINT,11356.23
279,2022,CN,CN,ALUM1,BASIC,11261.04
3562,2022,CN,CN,ELEC1,TRAN1,11229.92
1787,2022,CN,CN,CHEM1,BASIC,11197.54
6270,2022,CN,CN,HOTEL,COMPU,11171.39
12251,2022,CN,CN,RUBBE,PAPER,11119.86
10469,2022,CN,CN,POSTT,WHOLE,11045.46
11504,2022,CN,CN,REALE,OFFIC,11038.04
13138,2022,CN,CN,SUPPO,WHOLE,10938.95
13,2022,CN,CN,93197,BITUM,10899.14
7167,2022,CN,CN,LANDT,SUPPO,10897.77
12026,2022,CN,CN,RETA1,RUBBE,10825.03
7640,2022,CN,CN,MACHI,MACHI,10794.66
8431,2022,CN,CN,MOTOR,LIQUE,10787.22
8269,2022,CN,CN,MOTO1,FURNI,10774.01
4853,2022,CN,CN,FINAN,POSTT,10772.42
854,2022,CN,CN,BEVER,HOTEL,10767.84
11483,2022,CN,CN,REALE,LANDT,10734.24
5689,2022,CN,CN,GASDI,CRUDE,10716.65
9354,2022,CN,CN,OFFIC,RADIO,10658.98
10949,2022,CN,CN,PUBLI,CONST,10615.29
12478,2022,CN,CN,SEACO,CONST,10558.89
6374,2022,CN,CN,HOTEL,RESEA,10514.83
8669,2022,CN,CN,NATUR,ELEC2,10460.27
5617,2022,CN,CN,FURNI,POSTT,10429.06
